id,description,family,protocol,N,seed,metric_name,value_display,units,source_path,selector
P1-C2-SET2-NITRIDE-N10-MEAN_BEST_EPOCH,mean,nitride,protocol_2,10,,mean_best_epoch,1.0,epoch,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_best_epoch"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N10-MEAN_TEST_MAE_EV_PER_ATOM,mean,nitride,protocol_2,10,,mean_test_mae_eV_per_atom,0.07036,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N10-SEED0-MAE,seed_value,nitride,protocol_2,10,0,test_mae,0.07067,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""nitride"",""seed"":""0""}}"
P1-C2-SET2-NITRIDE-N10-SEED1-MAE,seed_value,nitride,protocol_2,10,1,test_mae,0.07026,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""nitride"",""seed"":""1""}}"
P1-C2-SET2-NITRIDE-N10-SEED2-MAE,seed_value,nitride,protocol_2,10,2,test_mae,0.07020,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""nitride"",""seed"":""2""}}"
P1-C2-SET2-NITRIDE-N10-SEED3-MAE,seed_value,nitride,protocol_2,10,3,test_mae,0.07024,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""nitride"",""seed"":""3""}}"
P1-C2-SET2-NITRIDE-N10-SEED4-MAE,seed_value,nitride,protocol_2,10,4,test_mae,0.07042,eV/atom,results/summaries/protocol_2/finetune/finetune_runs.csv,"{""column"":""test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""nitride"",""seed"":""4""}}"
P1-C2-SET2-NITRIDE-N10-STD_TEST_MAE_EV_PER_ATOM,sample_sd,nitride,protocol_2,10,,std_test_mae_eV_per_atom,0.00019,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""std_test_mae_eV_per_atom"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N10-TRANSFER_GAIN_VS_ZERO_SHOT,difference,nitride,protocol_2,10,,transfer_gain_vs_zero_shot,-0.00082,eV/atom,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""transfer_gain_vs_zero_shot"",""type"":""csv_cell"",""where"":{""N"":""10"",""family"":""nitride""}}"
P1-C2-SET2-NITRIDE-N100-MEAN_BEST_EPOCH,mean,nitride,protocol_2,100,,mean_best_epoch,1.0,epoch,results/summaries/protocol_2/finetune/finetune_summary_by_N.csv,"{""column"":""mean_best_epoch"",""type"":""csv_cell"",""where"":{""N"":""100"",""family"":""nitride""}}"
