family,N,method,seed,test_mae_eV_per_atom,five_seed_mean_eV_per_atom,sample_sd_eV_per_atom_ddof1,source_path,source_selector
nitride,50,finetune,0,0.0713176505855661,0.0716713879980946,0.0012301287882567,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=50;method=finetune;seed=0
nitride,50,finetune,1,0.0712270985072678,0.0716713879980946,0.0012301287882567,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=50;method=finetune;seed=1
nitride,50,finetune,2,0.0738434412801438,0.0716713879980946,0.0012301287882567,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=50;method=finetune;seed=2
nitride,50,finetune,3,0.0707992338767844,0.0716713879980946,0.0012301287882567,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=50;method=finetune;seed=3
nitride,50,finetune,4,0.0711695157407113,0.0716713879980946,0.0012301287882567,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=50;method=finetune;seed=4
nitride,50,from_scratch,0,0.6841480080423153,0.6914345625279978,0.0163082229946667,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=50;method=from_scratch;seed=0
nitride,50,from_scratch,1,0.6807100150103041,0.6914345625279978,0.0163082229946667,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=50;method=from_scratch;seed=1
nitride,50,from_scratch,2,0.6808268899975483,0.6914345625279978,0.0163082229946667,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=50;method=from_scratch;seed=2
nitride,50,from_scratch,3,0.7194129458959561,0.6914345625279978,0.0163082229946667,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=50;method=from_scratch;seed=3
nitride,50,from_scratch,4,0.6920749536938657,0.6914345625279978,0.0163082229946667,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=50;method=from_scratch;seed=4
nitride,500,finetune,0,0.0796709986372797,0.079047120631911,0.0008835768053792,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=500;method=finetune;seed=0
nitride,500,finetune,1,0.0801790088091876,0.079047120631911,0.0008835768053792,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=500;method=finetune;seed=1
nitride,500,finetune,2,0.0787164768019367,0.079047120631911,0.0008835768053792,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=500;method=finetune;seed=2
nitride,500,finetune,3,0.0779298218428965,0.079047120631911,0.0008835768053792,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=500;method=finetune;seed=3
nitride,500,finetune,4,0.0787392970682545,0.079047120631911,0.0008835768053792,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=500;method=finetune;seed=4
nitride,500,from_scratch,0,0.3582628523192007,0.3682740165490257,0.0233059277812587,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=500;method=from_scratch;seed=0
nitride,500,from_scratch,1,0.3850557760928165,0.3682740165490257,0.0233059277812587,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=500;method=from_scratch;seed=1
nitride,500,from_scratch,2,0.3947967914710483,0.3682740165490257,0.0233059277812587,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=500;method=from_scratch;seed=2
nitride,500,from_scratch,3,0.3353004766212514,0.3682740165490257,0.0233059277812587,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=500;method=from_scratch;seed=3
nitride,500,from_scratch,4,0.3679541862408115,0.3682740165490257,0.0233059277812587,paper/supplementary/data/all_240_training_runs.csv,family=nitride;N=500;method=from_scratch;seed=4
oxide,50,finetune,0,0.0375121783678836,0.037996865501985,0.0017408811915156,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=50;method=finetune;seed=0
oxide,50,finetune,1,0.0396273369077816,0.037996865501985,0.0017408811915156,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=50;method=finetune;seed=1
oxide,50,finetune,2,0.0365753312153689,0.037996865501985,0.0017408811915156,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=50;method=finetune;seed=2
oxide,50,finetune,3,0.0362412606567116,0.037996865501985,0.0017408811915156,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=50;method=finetune;seed=3
oxide,50,finetune,4,0.0400282203621793,0.037996865501985,0.0017408811915156,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=50;method=finetune;seed=4
oxide,50,from_scratch,0,0.6036282311957091,0.5560532795358512,0.0523490883363235,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=50;method=from_scratch;seed=0
oxide,50,from_scratch,1,0.5732795851858336,0.5560532795358512,0.0523490883363235,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=50;method=from_scratch;seed=1
oxide,50,from_scratch,2,0.4911099939788767,0.5560532795358512,0.0523490883363235,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=50;method=from_scratch;seed=2
oxide,50,from_scratch,3,0.510386201537828,0.5560532795358512,0.0523490883363235,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=50;method=from_scratch;seed=3
oxide,50,from_scratch,4,0.6018623857810087,0.5560532795358512,0.0523490883363235,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=50;method=from_scratch;seed=4
oxide,500,finetune,0,0.0362671728723185,0.0361877612872839,0.0001621432637268,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=500;method=finetune;seed=0
oxide,500,finetune,1,0.036367783665116,0.0361877612872839,0.0001621432637268,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=500;method=finetune;seed=1
oxide,500,finetune,2,0.0359306871206022,0.0361877612872839,0.0001621432637268,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=500;method=finetune;seed=2
oxide,500,finetune,3,0.0361732100759447,0.0361877612872839,0.0001621432637268,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=500;method=finetune;seed=3
oxide,500,finetune,4,0.0361999527024383,0.0361877612872839,0.0001621432637268,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=500;method=finetune;seed=4
oxide,500,from_scratch,0,0.2519046195223864,0.2643359895387973,0.0228038158633997,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=500;method=from_scratch;seed=0
oxide,500,from_scratch,1,0.300993804698289,0.2643359895387973,0.0228038158633997,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=500;method=from_scratch;seed=1
oxide,500,from_scratch,2,0.2691343562651458,0.2643359895387973,0.0228038158633997,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=500;method=from_scratch;seed=2
oxide,500,from_scratch,3,0.2581144678665292,0.2643359895387973,0.0228038158633997,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=500;method=from_scratch;seed=3
oxide,500,from_scratch,4,0.2415326993416359,0.2643359895387973,0.0228038158633997,paper/supplementary/data/all_240_training_runs.csv,family=oxide;N=500;method=from_scratch;seed=4
