jid,family,embedding_source,embedding_row_index,pca1,pca2,pca_fit_subset,preprocessing,source_npz_path,source_npz_key
JVASP-22556,oxide,last_alignn_pool,0,7.114006047715574,5.139576434899649,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-98088,oxide,last_alignn_pool,1,5.090340697449358,4.930309680249108,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-97428,oxide,last_alignn_pool,2,-0.10354455679327061,2.665657369709475,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-47760,oxide,last_alignn_pool,3,7.176192565261792,2.292718040170453,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-44255,oxide,last_alignn_pool,4,1.2059462383101784,5.79790806978788,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-48310,oxide,last_alignn_pool,5,3.6564725060129617,5.3660060896570085,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-52477,oxide,last_alignn_pool,6,8.335466223762284,0.647641584668819,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-48645,oxide,last_alignn_pool,7,6.750095406215664,4.30008953611722,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-85785,oxide,last_alignn_pool,8,-0.02035642010022908,0.7095297514762223,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-98551,oxide,last_alignn_pool,9,8.61015270624928,4.109302348151476,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-36782,oxide,last_alignn_pool,10,-0.06409712368478244,5.691913921437035,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-39244,oxide,last_alignn_pool,11,2.2496454087149904,4.209634504243639,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-38332,oxide,last_alignn_pool,12,2.2895161516476734,4.247278381430118,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-3396,oxide,last_alignn_pool,13,5.59282048154058,2.8458230471304105,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-85460,oxide,last_alignn_pool,14,8.537833598034325,3.253977577567138,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-98227,oxide,last_alignn_pool,15,7.209084007636079,4.546133926264022,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-48464,oxide,last_alignn_pool,16,7.197914026124778,1.141829689797618,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-97754,oxide,last_alignn_pool,17,-4.632345700960492,9.685164106339228,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-97929,oxide,last_alignn_pool,18,11.183891630205732,1.5556115221909868,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-29226,oxide,last_alignn_pool,19,-0.039547948407887216,1.99470014272603,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
JVASP-91849,oxide,last_alignn_pool,20,1.149236940801161,5.544428086613015,balanced_pool,StandardScaler fit on balanced_pool,results/embeddings/embeddings/test_set/structure_embeddings.npz,last_alignn_pool
