run_id,scope,set_id,set_role,experiment_type,family,N,seed,n_train,n_val,n_test,epochs,batch_size,learning_rate,test_mae_eV_per_atom,best_epoch,best_epoch_source,best_val_l1,prediction_path,prediction_sha256,history_train_path,history_train_sha256,history_val_path,history_val_sha256,summary_path,summary_sha256,mae_recompute_match,epoch_crosscheck_status,validation_status
P5-R001,main,1,canonical,fine_tune,oxide,10,0,5,5,1484,50,16,0.0001,0.0391444261686317,1,unique_argmin_history_val,0.0194897893816233,results/protocol_1/oxide/N10_seed0/finetune_last2/prediction_results_test_set.csv,02149ad0ff3ad16e4acf844bd05bb3b64639b334200e0def301fe1c78620f59b,results/protocol_1/oxide/N10_seed0/finetune_last2/history_train.json,a7ebd2cbbbbbfa0ac659a5e8bc3e79c8685f76063906e441c17ca3e301901bd0,results/protocol_1/oxide/N10_seed0/finetune_last2/history_val.json,904f62471b19c0d41dad7e52afbb5b54ba955ebdf7e465e92b572f87253248bb,results/protocol_1/oxide/N10_seed0/finetune_last2/summary.json,9bef78a3d8b816e0bc8594fded6821c7566c863e18af9f8d00f61d9daa7c4777,True,summary_match,validated
P5-R002,main,1,canonical,fine_tune,oxide,10,1,5,5,1484,50,16,0.0001,0.0373577777297246,1,unique_argmin_history_val,0.016945231705904,results/protocol_1/oxide/N10_seed1/finetune_last2/prediction_results_test_set.csv,570057e36d3d5c586f00d7bbc331280f169c25a01c50e27cc2fb43155c526114,results/protocol_1/oxide/N10_seed1/finetune_last2/history_train.json,65ccc6b45305a35815c5ce0d58c0b4572ec95d6445c91a8037868eb1d9e36988,results/protocol_1/oxide/N10_seed1/finetune_last2/history_val.json,edf0cbc0bd5074dbcaeeddef5ae8d6bb286af87781ff799c2b44135784734007,results/protocol_1/oxide/N10_seed1/finetune_last2/summary.json,54c69988837bb2ae38aa9c318ab85bf9e09e630acf7a4f419ae1687bf79f4075,True,summary_match,validated
P5-R003,main,1,canonical,fine_tune,oxide,10,2,5,5,1484,50,16,0.0001,0.0346006281644726,1,unique_argmin_history_val,0.00678870687261224,results/protocol_1/oxide/N10_seed2/finetune_last2/prediction_results_test_set.csv,8f0444c31fdcbfc5b6afa9977556b3c78827b4f350c074c35e12223f20b4faed,results/protocol_1/oxide/N10_seed2/finetune_last2/history_train.json,b58df7827e7180447b024fc2e4abf7931b8bf4141d84b21f1f41a2eeecca8de9,results/protocol_1/oxide/N10_seed2/finetune_last2/history_val.json,badcbd17ffa213f3381221ea36dc3b4a663ec80f1063ce60e2b0b63584949fe9,results/protocol_1/oxide/N10_seed2/finetune_last2/summary.json,42be7b4c51e8e18f2434ea13cd0ec067d5c12b4eeefa9b1ebcb0031ca767e77b,True,summary_match,validated
P5-R004,main,1,canonical,fine_tune,oxide,10,3,5,5,1484,50,16,0.0001,0.0356330521631612,1,unique_argmin_history_val,0.0186884887516499,results/protocol_1/oxide/N10_seed3/finetune_last2/prediction_results_test_set.csv,135e803f1446f4ad091b3e2e285658132470c98816a44129f7f467801f1b8863,results/protocol_1/oxide/N10_seed3/finetune_last2/history_train.json,5052f8cb5c0fd9e262b8bec0a0b6353305208d05c8f598b16bc476c1cf67756b,results/protocol_1/oxide/N10_seed3/finetune_last2/history_val.json,ad943523612e14aeab4f15521279e6a7859af75c0a646f44002c89a2570cb9b1,results/protocol_1/oxide/N10_seed3/finetune_last2/summary.json,21e41918a59399debff0454012d498b25558546cc716907ca5a9bf9cd2a76131,True,summary_match,validated
P5-R005,main,1,canonical,fine_tune,oxide,10,4,5,5,1484,50,16,0.0001,0.0344718146874353,1,unique_argmin_history_val,0.0307174455374479,results/protocol_1/oxide/N10_seed4/finetune_last2/prediction_results_test_set.csv,f94056d577f60100e88094a1ee0787f22f61d2de7606c929d205076844cada9f,results/protocol_1/oxide/N10_seed4/finetune_last2/history_train.json,4e8a673830a5ad9e9c855de74052a47508bef6587b629d3b065327f7a3de56e6,results/protocol_1/oxide/N10_seed4/finetune_last2/history_val.json,8658fae11b6c0e70266c1c55b07c75c173792b0281893c2f906d829b6be77ad1,results/protocol_1/oxide/N10_seed4/finetune_last2/summary.json,8e510b5f96ca71d1660858a76ffa377f0d91433a8628ff926c4891b18ce7472b,True,summary_match,validated
P5-R006,main,1,canonical,fine_tune,oxide,50,0,45,5,1484,50,16,0.0001,0.0375121783678837,33,unique_argmin_history_val,0.025552487000823,results/protocol_1/oxide/N50_seed0/finetune_last2/prediction_results_test_set.csv,96b873c239d0a4b9e6c6e8b98f78ca8d8dbff6231f49d521b392c109b871dfe0,results/protocol_1/oxide/N50_seed0/finetune_last2/history_train.json,5e5ed94fd053b5693329f4de8c6c1e2dae1ec343d3403a7b472716b26957a36f,results/protocol_1/oxide/N50_seed0/finetune_last2/history_val.json,fad38f623a90bf59c2c86458ad9cf44e227e9b4d7159a53143cbd2881dbf5e3a,results/protocol_1/oxide/N50_seed0/finetune_last2/summary.json,b037c3329ac5428bb62af25e2a99cfe0a010d3bb04cb0e443344bdf8e228eead,True,summary_match,validated
P5-R007,main,1,canonical,fine_tune,oxide,50,1,45,5,1484,50,16,0.0001,0.0396273369077816,19,unique_argmin_history_val,0.0117610692977905,results/protocol_1/oxide/N50_seed1/finetune_last2/prediction_results_test_set.csv,82c07be6abb03c353240fcabb578ba4daf9abcb964df541efa7152c59bc2a40d,results/protocol_1/oxide/N50_seed1/finetune_last2/history_train.json,8bc6c6c1939ac4eddaa8970d062386b2018d30fadfc2c2cf37c54f1a60a3b181,results/protocol_1/oxide/N50_seed1/finetune_last2/history_val.json,b01744ab1296b1cf255bc76368bd0e54997e4fc40f60aee47da0263216907d3a,results/protocol_1/oxide/N50_seed1/finetune_last2/summary.json,417bd487dbbaae12863ba394bba192a020f419b39455989767fcafbd0cee0bcc,True,summary_match,validated
P5-R008,main,1,canonical,fine_tune,oxide,50,2,45,5,1484,50,16,0.0001,0.0365753312153689,32,unique_argmin_history_val,0.00819201488047838,results/protocol_1/oxide/N50_seed2/finetune_last2/prediction_results_test_set.csv,c30270857259acf535407f29a4c0eb731553fa83db513738fd3cfb975d52103b,results/protocol_1/oxide/N50_seed2/finetune_last2/history_train.json,4a442e9edfeb00c514416de91c222d575f89eb20042a981f414e71b945424b31,results/protocol_1/oxide/N50_seed2/finetune_last2/history_val.json,c8c39e1f23a3a7bf2f77520904ce6f635bd1fca1862f016c339d88a6f0bcac15,results/protocol_1/oxide/N50_seed2/finetune_last2/summary.json,507b7f100b800dbbedf853d9455d7baaea5a0151f40c894a34eff99a3fb0bbcd,True,summary_match,validated
P5-R009,main,1,canonical,fine_tune,oxide,50,3,45,5,1484,50,16,0.0001,0.0362412606567117,27,unique_argmin_history_val,0.0184724573045969,results/protocol_1/oxide/N50_seed3/finetune_last2/prediction_results_test_set.csv,d9d3d421ffa4efa6026b77cbeb845742302b95c88c2c6aa3d68e1dc8440737f3,results/protocol_1/oxide/N50_seed3/finetune_last2/history_train.json,86616efdfbdc4d4c0597a7ffe5ed39d9b351255c23d074491c1eee4cb3631456,results/protocol_1/oxide/N50_seed3/finetune_last2/history_val.json,54d8d64d119ab104e0b2eec45d27ab7fe203428ad464ba074e87ae3c4d22e5de,results/protocol_1/oxide/N50_seed3/finetune_last2/summary.json,dcc5335464943c7e7b9182bbe8d1f08bd46db0bdecf201d665d32e5c03973c0b,True,summary_match,validated
P5-R010,main,1,canonical,fine_tune,oxide,50,4,45,5,1484,50,16,0.0001,0.0400282203621793,10,unique_argmin_history_val,0.0321027748286724,results/protocol_1/oxide/N50_seed4/finetune_last2/prediction_results_test_set.csv,6036219260bc2ca342df9a0be86c8152a7688b090395c131ba405036f694bb10,results/protocol_1/oxide/N50_seed4/finetune_last2/history_train.json,1bce5887715626d20213decec9f687bf4ab32f9e0424fe42724666b98e6999d6,results/protocol_1/oxide/N50_seed4/finetune_last2/history_val.json,d6f72ebd0294487f28863533966385594f847c0ac4ae6d599b900512390a1f41,results/protocol_1/oxide/N50_seed4/finetune_last2/summary.json,99369765bac5a841954d3ff14305e21514927f411767e637a4e136afdf3fb6e0,True,summary_match,validated
