trace_id,dataset,dataset_label,embedding_source,embedding_dim,metric_name,metric_scope,value,ci_low,ci_high,ci_level,ci_method,higher_is_better,n_structures,n_oxide,n_nitride,vector_space,raw_space_primary,projected_space,preprocessing,parameters,scenario,source_seed,majority_label_baseline
P5-E018,balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,davies_bouldin_index,overall_family_labels,1.7856007148087834,1.7431726951044915,1.8285506527016642,0.94999999999999996,stratified_bootstrap_recomputed_index,False,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,1043,0.5
P5-E019,balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,knn_family_purity,overall_family_labels,0.97670250896057353,0.97372026718800919,0.97953812316715538,0.94999999999999996,stratified_bootstrap_over_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",inclusive_baseline_recomputed,1043,0.5
P5-E020,balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,logistic_regression_family_auc,overall_family_labels,0.99930150048398092,0.99849166267728851,0.99987397028653768,0.94999999999999996,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}",inclusive_baseline_recomputed,1043,0.5
P5-E017,balanced_pool_set,Balanced train+val pool,last_alignn_pool,256,silhouette_score,overall_family_labels,0.20767994650541158,0.20403045199461689,0.21140657861943665,0.94999999999999996,stratified_bootstrap_over_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,1043,0.5
P5-E022,balanced_pool_set,Balanced train+val pool,last_gcn_pool,256,davies_bouldin_index,overall_family_labels,1.6445431066035552,1.6001641849610815,1.6887614878903301,0.94999999999999996,stratified_bootstrap_recomputed_index,False,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,1044,0.5
P5-E023,balanced_pool_set,Balanced train+val pool,last_gcn_pool,256,knn_family_purity,overall_family_labels,0.97005539263603791,0.96635589768654284,0.97368890518084061,0.94999999999999996,stratified_bootstrap_over_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",inclusive_baseline_recomputed,1044,0.5
P5-E024,balanced_pool_set,Balanced train+val pool,last_gcn_pool,256,logistic_regression_family_auc,overall_family_labels,0.99893290104717591,0.99835849030461654,0.99939173926379488,0.94999999999999996,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}",inclusive_baseline_recomputed,1044,0.5
P5-E021,balanced_pool_set,Balanced train+val pool,last_gcn_pool,256,silhouette_score,overall_family_labels,0.2147995146211619,0.21017233434509855,0.21971179552557882,0.94999999999999996,stratified_bootstrap_over_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,1044,0.5
P5-E014,balanced_pool_set,Balanced train+val pool,pre_head,256,davies_bouldin_index,overall_family_labels,1.6445431066035552,1.5976045579307123,1.6884861932198747,0.94999999999999996,stratified_bootstrap_recomputed_index,False,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,1042,0.5
P5-E015,balanced_pool_set,Balanced train+val pool,pre_head,256,knn_family_purity,overall_family_labels,0.97005539263603791,0.96633960573476707,0.97316878462039758,0.94999999999999996,stratified_bootstrap_over_per_structure_purity_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",inclusive_baseline_recomputed,1042,0.5
P5-E016,balanced_pool_set,Balanced train+val pool,pre_head,256,logistic_regression_family_auc,overall_family_labels,0.99891426802315086,0.99821268689161968,0.99943839946145785,0.94999999999999996,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}",inclusive_baseline_recomputed,1042,0.5
P5-E013,balanced_pool_set,Balanced train+val pool,pre_head,256,silhouette_score,overall_family_labels,0.2147995146211619,0.21017648783518184,0.21949743316110459,0.94999999999999996,stratified_bootstrap_over_per_structure_silhouette_values,True,4092,2046,2046,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,1042,0.5
P5-E006,fixed_test_set,Fixed test set,last_alignn_pool,256,davies_bouldin_index,overall_family_labels,1.8289881053584107,1.733953690415271,1.9071249603130276,0.94999999999999996,stratified_bootstrap_recomputed_index,False,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""metric"": ""euclidean""}",inclusive_baseline_recomputed,43,0.85979142526071839
P5-E007,fixed_test_set,Fixed test set,last_alignn_pool,256,knn_family_purity,overall_family_labels,0.96554654306682119,0.96029258400927009,0.97076091154886057,0.94999999999999996,stratified_bootstrap_over_per_structure_purity_values,True,1726,1484,242,raw_256d_embedding_vectors,True,none,none,"{""k_neighbors"": 15, ""metric"": ""euclidean"", ""self_excluded"": true}",inclusive_baseline_recomputed,43,0.85979142526071839
P5-E008,fixed_test_set,Fixed test set,last_alignn_pool,256,logistic_regression_family_auc,overall_family_labels,0.99936234434519167,0.9983647891559555,0.99994437916286105,0.94999999999999996,stratified_bootstrap_over_cross_validated_out_of_fold_scores,True,1726,1484,242,raw_256d_embedding_vectors,True,none,fold_local_standard_scaler_no_dimensionality_reduction,"{""class_weight"": ""balanced"", ""cv_folds"": 5, ""positive_label"": ""nitride"", ""solver"": ""lbfgs""}",inclusive_baseline_recomputed,43,0.85979142526071839
