trace_id,set_id,set_role,experiment_type,family,N,n_seeds,mae_mean,mae_sample_sd,best_epoch_mean,best_epoch_min,best_epoch_max,run_trace_ids
P5-A001,1,canonical,fine_tune,oxide,10,5,0.03624153978268508,0.0019917022592985793,1.0,1,1,P5-R001;P5-R002;P5-R003;P5-R004;P5-R005
P5-A002,1,canonical,fine_tune,oxide,50,5,0.03799686550198504,0.0017408811915156155,24.2,10,33,P5-R006;P5-R007;P5-R008;P5-R009;P5-R010
P5-A003,1,canonical,fine_tune,oxide,100,5,0.03687416647822594,0.00086729043517393,29.0,14,49,P5-R011;P5-R012;P5-R013;P5-R014;P5-R015
P5-A004,1,canonical,fine_tune,oxide,200,5,0.03658159764968687,0.00038141263697312065,28.8,15,40,P5-R016;P5-R017;P5-R018;P5-R019;P5-R020
P5-A005,1,canonical,fine_tune,oxide,500,5,0.036187761287284,0.00016214326372688694,26.8,7,50,P5-R021;P5-R022;P5-R023;P5-R024;P5-R025
P5-A006,1,canonical,fine_tune,oxide,1000,5,0.03597035115246468,0.00011849944422547691,28.2,13,44,P5-R026;P5-R027;P5-R028;P5-R029;P5-R030
P5-A007,1,canonical,fine_tune,nitride,10,5,0.07040438240871202,0.00020124688271268415,1.0,1,1,P5-R031;P5-R032;P5-R033;P5-R034;P5-R035
P5-A008,1,canonical,fine_tune,nitride,50,5,0.07167138799809473,0.0012301287882566711,1.0,1,1,P5-R036;P5-R037;P5-R038;P5-R039;P5-R040
P5-A009,1,canonical,fine_tune,nitride,100,5,0.07567185385629904,0.0019358828028501096,1.0,1,1,P5-R041;P5-R042;P5-R043;P5-R044;P5-R045
P5-A010,1,canonical,fine_tune,nitride,200,5,0.08528144322181783,0.0006622695036480305,10.6,1,49,P5-R046;P5-R047;P5-R048;P5-R049;P5-R050
P5-A011,1,canonical,fine_tune,nitride,500,5,0.07904712063191104,0.0008835768053792677,40.4,31,50,P5-R051;P5-R052;P5-R053;P5-R054;P5-R055
P5-A012,1,canonical,fine_tune,nitride,1000,5,0.07577292778306018,0.0009260023340934236,40.6,32,49,P5-R056;P5-R057;P5-R058;P5-R059;P5-R060
P5-A013,1,canonical,from_scratch,oxide,50,5,0.5560532795358512,0.05234908833632354,39.0,24,48,P5-R061;P5-R062;P5-R063;P5-R064;P5-R065
P5-A014,1,canonical,from_scratch,oxide,500,5,0.26433598953879733,0.022803815863399742,38.8,27,48,P5-R066;P5-R067;P5-R068;P5-R069;P5-R070
P5-A015,1,canonical,from_scratch,nitride,50,5,0.6914345625279978,0.01630822299466673,22.4,15,35,P5-R071;P5-R072;P5-R073;P5-R074;P5-R075
P5-A016,1,canonical,from_scratch,nitride,500,5,0.36827401654902575,0.02330592778125873,39.2,29,49,P5-R076;P5-R077;P5-R078;P5-R079;P5-R080
P5-A017,2,robustness,fine_tune,oxide,10,5,0.036765186526816374,0.003181629790347543,5.2,1,22,P5-R081;P5-R082;P5-R083;P5-R084;P5-R085
P5-A018,2,robustness,fine_tune,oxide,50,5,0.036334361320686584,0.0014211143342610735,7.8,1,19,P5-R086;P5-R087;P5-R088;P5-R089;P5-R090
P5-A019,2,robustness,fine_tune,oxide,100,5,0.03801630424901045,0.001999493066644124,37.2,1,76,P5-R091;P5-R092;P5-R093;P5-R094;P5-R095
P5-A020,2,robustness,fine_tune,oxide,200,5,0.03667231973469624,0.0009458378024113606,50.2,29,92,P5-R096;P5-R097;P5-R098;P5-R099;P5-R100
