family,N,median_rel_epoch1_to_best_val_improvement,median_final_minus_best_val_l1,boundary_selections_epoch50_of5,best_epoch_sd
oxide,10,0.0000,0.01260,0,0.0
oxide,50,0.4092,0.00103,0,9.7
oxide,100,0.6482,0.00294,0,13.1
oxide,200,0.6695,0.00168,0,10.4
oxide,500,0.8056,0.00167,1,16.0
oxide,1000,0.7553,0.00119,0,11.6
nitride,10,0.0000,0.08506,0,0.0
nitride,50,0.0000,0.04328,0,0.0
nitride,100,0.0000,0.04910,0,0.0
nitride,200,0.0000,0.01706,0,21.5
nitride,500,0.6225,0.00132,1,7.8
nitride,1000,0.7995,0.00140,0,6.3
