family,N,method,seed,test_mae_eV_per_atom
nitride,50,finetune,0,0.0713176505855661
nitride,50,finetune,1,0.0712270985072678
nitride,50,finetune,2,0.0738434412801438
nitride,50,finetune,3,0.0707992338767844
nitride,50,finetune,4,0.0711695157407113
nitride,50,from_scratch,0,0.6841480080423153
nitride,50,from_scratch,1,0.6807100150103041
nitride,50,from_scratch,2,0.6808268899975483
nitride,50,from_scratch,3,0.7194129458959561
nitride,50,from_scratch,4,0.6920749536938657
nitride,500,finetune,0,0.0796709986372797
nitride,500,finetune,1,0.0801790088091876
nitride,500,finetune,2,0.0787164768019367
nitride,500,finetune,3,0.0779298218428965
nitride,500,finetune,4,0.0787392970682545
nitride,500,from_scratch,0,0.3582628523192007
nitride,500,from_scratch,1,0.3850557760928165
nitride,500,from_scratch,2,0.3947967914710483
nitride,500,from_scratch,3,0.3353004766212514
nitride,500,from_scratch,4,0.3679541862408115
oxide,50,finetune,0,0.0375121783678836
oxide,50,finetune,1,0.0396273369077816
oxide,50,finetune,2,0.0365753312153689
oxide,50,finetune,3,0.0362412606567116
oxide,50,finetune,4,0.0400282203621793
oxide,50,from_scratch,0,0.6036282311957091
oxide,50,from_scratch,1,0.5732795851858336
oxide,50,from_scratch,2,0.4911099939788767
oxide,50,from_scratch,3,0.510386201537828
oxide,50,from_scratch,4,0.6018623857810087
oxide,500,finetune,0,0.0362671728723185
oxide,500,finetune,1,0.036367783665116
oxide,500,finetune,2,0.0359306871206022
oxide,500,finetune,3,0.0361732100759447
oxide,500,finetune,4,0.0361999527024383
oxide,500,from_scratch,0,0.2519046195223864
oxide,500,from_scratch,1,0.300993804698289
oxide,500,from_scratch,2,0.2691343562651458
oxide,500,from_scratch,3,0.2581144678665292
oxide,500,from_scratch,4,0.2415326993416359
