family,N,seed,n_train,n_val,n_test,epochs,batch_size,final_batch_size,best_epoch,learning_rate,test_mae_eV_per_atom,train_mae_eV_per_atom,val_best_l1,device,elapsed_seconds,summary_path
nitride,10,0,5,5,242,50,16,16,1,0.0001,0.0706750171813221,0.07483927011489869,0.019942669197916985,cuda,17.70873212814331,results/protocol_1/nitride/N10_seed0/finetune_last2/summary.json
nitride,10,1,5,5,242,50,16,16,1,0.0001,0.07035530142270582,0.007066315412521363,0.007688216399401426,cuda,16.84959650039673,results/protocol_1/nitride/N10_seed1/finetune_last2/summary.json
nitride,10,2,5,5,242,50,16,16,1,0.0001,0.07016121589170754,0.006260886788368225,0.007067698519676924,cuda,16.574572324752808,results/protocol_1/nitride/N10_seed2/finetune_last2/summary.json
nitride,10,3,5,5,242,50,16,16,1,0.0001,0.07029903026620958,0.006508579850196839,0.00784252304583788,cuda,12.482859373092651,results/protocol_1/nitride/N10_seed3/finetune_last2/summary.json
nitride,10,4,5,5,242,50,16,16,1,0.0001,0.0705313472816151,0.008791002631187438,0.010180795565247536,cuda,12.769246101379395,results/protocol_1/nitride/N10_seed4/finetune_last2/summary.json
nitride,50,0,45,5,242,50,16,16,1,0.0001,0.07131765058556618,0.026659600353903242,0.013796609826385975,cuda,24.468495845794678,results/protocol_1/nitride/N50_seed0/finetune_last2/summary.json
nitride,50,1,45,5,242,50,16,16,1,0.0001,0.07122709850726788,0.007098374350203408,0.005498706828802824,cuda,25.58364224433899,results/protocol_1/nitride/N50_seed1/finetune_last2/summary.json
nitride,50,2,45,5,242,50,16,16,1,0.0001,0.0738434412801438,0.013208255958225992,0.014575378969311714,cuda,24.40048050880432,results/protocol_1/nitride/N50_seed2/finetune_last2/summary.json
nitride,50,3,45,5,242,50,16,16,1,0.0001,0.07079923387678448,0.020637809557633266,0.008826944045722485,cuda,18.79655408859253,results/protocol_1/nitride/N50_seed3/finetune_last2/summary.json
nitride,50,4,45,5,242,50,16,16,1,0.0001,0.07116951574071133,0.008343567668149868,0.014504349790513515,cuda,18.490474224090576,results/protocol_1/nitride/N50_seed4/finetune_last2/summary.json
nitride,100,0,90,10,242,50,16,16,1,0.0001,0.07457861391257894,0.022659356084962685,0.05997202545404434,cuda,34.72507667541504,results/protocol_1/nitride/N100_seed0/finetune_last2/summary.json
nitride,100,1,90,10,242,50,16,16,1,0.0001,0.07668426000967252,0.024652489269566206,0.019553743302822113,cuda,34.709187030792236,results/protocol_1/nitride/N100_seed1/finetune_last2/summary.json
nitride,100,2,90,10,242,50,16,16,1,0.0001,0.07850182431265096,0.0236078819195326,0.020772432908415794,cuda,34.81631088256836,results/protocol_1/nitride/N100_seed2/finetune_last2/summary.json
nitride,100,3,90,10,242,50,16,16,1,0.0001,0.07359627905986772,0.02160959872417152,0.014902608469128609,cuda,27.03308367729187,results/protocol_1/nitride/N100_seed3/finetune_last2/summary.json
nitride,100,4,90,10,242,50,16,16,1,0.0001,0.07499829198672506,0.017682347929156902,0.026169199496507645,cuda,26.259845495224,results/protocol_1/nitride/N100_seed4/finetune_last2/summary.json
nitride,200,0,180,20,242,50,16,16,49,0.0001,0.08637154872783205,0.03276356030255556,0.038554318249225616,cuda,55.13638973236084,results/protocol_1/nitride/N200_seed0/finetune_last2/summary.json
nitride,200,1,180,20,242,50,16,16,1,0.0001,0.08519118266133976,0.03622697974917376,0.026485944166779518,cuda,55.489495038986206,results/protocol_1/nitride/N200_seed1/finetune_last2/summary.json
nitride,200,2,180,20,242,50,16,16,1,0.0001,0.08460780789629241,0.03544567566584899,0.022543572820723057,cuda,54.92775368690491,results/protocol_1/nitride/N200_seed2/finetune_last2/summary.json
nitride,200,3,180,20,242,50,16,16,1,0.0001,0.08527792489140733,0.027853628193649154,0.07052576914429665,cuda,44.09433054924011,results/protocol_1/nitride/N200_seed3/finetune_last2/summary.json
nitride,200,4,180,20,242,50,16,16,1,0.0001,0.08495875193221757,0.03463035005325865,0.02786434069275856,cuda,44.10339140892029,results/protocol_1/nitride/N200_seed4/finetune_last2/summary.json
nitride,500,0,450,50,242,50,16,16,40,0.0001,0.0796709986372797,0.024332851670608054,0.05006067734211683,cuda,116.26694202423096,results/protocol_1/nitride/N500_seed0/finetune_last2/summary.json
nitride,500,1,450,50,242,50,16,16,31,0.0001,0.08017900880918769,0.027642018071168825,0.032559331972151995,cuda,116.82224535942078,results/protocol_1/nitride/N500_seed1/finetune_last2/summary.json
nitride,500,2,450,50,242,50,16,16,50,0.0001,0.07871647680193679,0.023005862965300265,0.01909710862673819,cuda,113.9600203037262,results/protocol_1/nitride/N500_seed2/finetune_last2/summary.json
nitride,500,3,450,50,242,50,16,16,46,0.0001,0.07792982184289654,0.022063210459891708,0.06294879503548145,cuda,93.40838479995728,results/protocol_1/nitride/N500_seed3/finetune_last2/summary.json
nitride,500,4,450,50,242,50,16,16,35,0.0001,0.07873929706825451,0.02512178434783386,0.029991925694048405,cuda,93.06878185272217,results/protocol_1/nitride/N500_seed4/finetune_last2/summary.json
nitride,1000,0,900,100,242,50,16,16,32,0.0001,0.07575768517899859,0.018720272446363297,0.03345766769988196,cuda,211.1859893798828,results/protocol_1/nitride/N1000_seed0/finetune_last2/summary.json
nitride,1000,1,900,100,242,50,16,16,43,0.0001,0.07429133859763215,0.022122233456725048,0.023858964975391115,cuda,214.70204257965088,results/protocol_1/nitride/N1000_seed1/finetune_last2/summary.json
nitride,1000,2,900,100,242,50,16,16,38,0.0001,0.07676153222853241,0.01965203776599891,0.02193561675293105,cuda,217.0135781764984,results/protocol_1/nitride/N1000_seed2/finetune_last2/summary.json
nitride,1000,3,900,100,242,50,16,16,41,0.0001,0.07628011868974148,0.020286033337470144,0.0367802589067391,cuda,176.41687631607056,results/protocol_1/nitride/N1000_seed3/finetune_last2/summary.json
nitride,1000,4,900,100,242,50,16,16,49,0.0001,0.07577396422039626,0.019561153224680716,0.02157662489584514,cuda,174.97920489311218,results/protocol_1/nitride/N1000_seed4/finetune_last2/summary.json
oxide,10,0,5,5,1484,50,16,16,1,0.0001,0.03914442616863166,0.02134230136871338,0.019489789381623268,cuda,74.74051403999329,results/protocol_1/oxide/N10_seed0/finetune_last2/summary.json
oxide,10,1,5,5,1484,50,16,16,1,0.0001,0.03735777772972461,0.011318802833557129,0.016945231705904007,cuda,68.94081258773804,results/protocol_1/oxide/N10_seed1/finetune_last2/summary.json
oxide,10,2,5,5,1484,50,16,16,1,0.0001,0.0346006281644726,0.00635453462600708,0.006788706872612238,cuda,67.64549398422241,results/protocol_1/oxide/N10_seed2/finetune_last2/summary.json
oxide,10,3,5,5,1484,50,16,16,1,0.0001,0.035633052163161184,0.013076938316226005,0.018688488751649857,cuda,52.73000884056091,results/protocol_1/oxide/N10_seed3/finetune_last2/summary.json
oxide,10,4,5,5,1484,50,16,16,1,0.0001,0.03447181468743535,0.010184067487716674,0.03071744553744793,cuda,42.35470247268677,results/protocol_1/oxide/N10_seed4/finetune_last2/summary.json
oxide,50,0,45,5,1484,50,16,16,33,0.0001,0.03751217836788366,0.008481138282352023,0.02555248700082302,cuda,77.79934287071228,results/protocol_1/oxide/N50_seed0/finetune_last2/summary.json
oxide,50,1,45,5,1484,50,16,16,19,0.0001,0.03962733690778165,0.01337757690085305,0.011761069297790527,cuda,78.05246949195862,results/protocol_1/oxide/N50_seed1/finetune_last2/summary.json
oxide,50,2,45,5,1484,50,16,16,32,0.0001,0.0365753312153689,0.011464537845717536,0.008192014880478382,cuda,76.74199676513672,results/protocol_1/oxide/N50_seed2/finetune_last2/summary.json
oxide,50,3,45,5,1484,50,16,16,27,0.0001,0.036241260656711675,0.008496906815303696,0.0184724573045969,cuda,50.5656840801239,results/protocol_1/oxide/N50_seed3/finetune_last2/summary.json
oxide,50,4,45,5,1484,50,16,16,10,0.0001,0.04002822036217933,0.019530428780449763,0.03210277482867241,cuda,49.7069890499115,results/protocol_1/oxide/N50_seed4/finetune_last2/summary.json
oxide,100,0,90,10,1484,50,16,16,23,0.0001,0.03635439455507303,0.01052455206712087,0.012374699115753174,cuda,88.45945048332214,results/protocol_1/oxide/N100_seed0/finetune_last2/summary.json
oxide,100,1,90,10,1484,50,16,16,33,0.0001,0.036676712370084755,0.014432345206538836,0.011271334253251553,cuda,90.17555642127991,results/protocol_1/oxide/N100_seed1/finetune_last2/summary.json
oxide,100,2,90,10,1484,50,16,16,49,0.0001,0.03701010250597515,0.009610139909717772,0.0077558220364153385,cuda,89.39351439476013,results/protocol_1/oxide/N100_seed2/finetune_last2/summary.json
oxide,100,3,90,10,1484,50,16,16,26,0.0001,0.03604405455249224,0.00933281249470181,0.01390132773667574,cuda,58.248607873916626,results/protocol_1/oxide/N100_seed3/finetune_last2/summary.json
oxide,100,4,90,10,1484,50,16,16,14,0.0001,0.038285568407504515,0.012268544185078806,0.027794066816568375,cuda,57.69627022743225,results/protocol_1/oxide/N100_seed4/finetune_last2/summary.json
oxide,200,0,180,20,1484,50,16,16,28,0.0001,0.036765041385339245,0.009074553267823325,0.01850808784365654,cuda,112.94345045089722,results/protocol_1/oxide/N200_seed0/finetune_last2/summary.json
